1,Consulta de Salud Pública,2024-01-15,34
2,Consulta de Transporte Urbano,2024-02-20,45
3,Consulta sobre Educación,2024-03-10,22
4,Consulta Ambiental,2024-04-05,58
5,Consulta de Seguridad Ciudadana,2024-05-18,67
6,Consulta sobre Economía,2024-06-12,89
7,Consulta de Tecnología,2024-07-25,41
8,Consulta sobre Infraestructura,2024-08-30,53
9,Consulta Cultural,2024-09-14,29
10,Consulta de Deportes,2024-10-01,37
11,Consulta de Turismo,2024-11-08,15
12,Consulta de Energía Renovable,2024-12-17,62
13,Consulta de Vivienda,2025-01-22,18
14,Consulta sobre Igualdad de Género,2025-02-14,73
15,Consulta de Desarrollo Rural,2025-03-09,24
